@id,dct:description,rdf:type,rdfs:label,skos:notation
<http://codes.wmo.int/wmdr/TerritoryName/AFG>,'Afghanistan'@en,skos:Concept,Afghanistan,AFG
<http://codes.wmo.int/wmdr/TerritoryName/AGO>,'Angola'@en,skos:Concept,Angola,AGO
<http://codes.wmo.int/wmdr/TerritoryName/AIA>,'Anguilla'@en,skos:Concept,Anguilla,AIA
<http://codes.wmo.int/wmdr/TerritoryName/ALB>,'Albania'@en,skos:Concept,Albania,ALB
<http://codes.wmo.int/wmdr/TerritoryName/AND>,'Andorra'@en,skos:Concept,Andorra,AND
<http://codes.wmo.int/wmdr/TerritoryName/ARE>,'United Arab Emirates (the)'@en,skos:Concept,United Arab Emirates (the),ARE
<http://codes.wmo.int/wmdr/TerritoryName/ARG>,'Argentina'@en,skos:Concept,Argentina,ARG
<http://codes.wmo.int/wmdr/TerritoryName/ARM>,'Armenia'@en,skos:Concept,Armenia,ARM
<http://codes.wmo.int/wmdr/TerritoryName/ATG>,'Antigua and Barbuda'@en,skos:Concept,Antigua and Barbuda,ATG
<http://codes.wmo.int/wmdr/TerritoryName/AUS>,'Australia'@en,skos:Concept,Australia,AUS
<http://codes.wmo.int/wmdr/TerritoryName/AUT>,'Austria'@en,skos:Concept,Austria,AUT
<http://codes.wmo.int/wmdr/TerritoryName/AZE>,'Azerbaijan'@en,skos:Concept,Azerbaijan,AZE
<http://codes.wmo.int/wmdr/TerritoryName/BCT>,'British Caribbean Territories'@en,skos:Concept,British Caribbean Territories,BCT
<http://codes.wmo.int/wmdr/TerritoryName/BDI>,'Burundi'@en,skos:Concept,Burundi,BDI
<http://codes.wmo.int/wmdr/TerritoryName/BEL>,'Belgium'@en,skos:Concept,Belgium,BEL
<http://codes.wmo.int/wmdr/TerritoryName/BEN>,'Benin'@en,skos:Concept,Benin,BEN
<http://codes.wmo.int/wmdr/TerritoryName/BFA>,'Burkina Faso'@en,skos:Concept,Burkina Faso,BFA
<http://codes.wmo.int/wmdr/TerritoryName/BGD>,'Bangladesh'@en,skos:Concept,Bangladesh,BGD
<http://codes.wmo.int/wmdr/TerritoryName/BGR>,'Bulgaria'@en,skos:Concept,Bulgaria,BGR
<http://codes.wmo.int/wmdr/TerritoryName/BHR>,'Bahrain'@en,skos:Concept,Bahrain,BHR
<http://codes.wmo.int/wmdr/TerritoryName/BHS>,'Bahamas'@en,skos:Concept,Bahamas,BHS
<http://codes.wmo.int/wmdr/TerritoryName/BIH>,'Bosnia and Herzegovina'@en,skos:Concept,Bosnia and Herzegovina,BIH
<http://codes.wmo.int/wmdr/TerritoryName/BLR>,'Belarus'@en,skos:Concept,Belarus,BLR
<http://codes.wmo.int/wmdr/TerritoryName/BLZ>,'Belize'@en,skos:Concept,Belize,BLZ
<http://codes.wmo.int/wmdr/TerritoryName/BMU>,'Bermuda'@en,skos:Concept,Bermuda,BMU
<http://codes.wmo.int/wmdr/TerritoryName/BOL>,"'Bolivia, Plurinational State of'@en",skos:Concept,"Bolivia, Plurinational State of",BOL
<http://codes.wmo.int/wmdr/TerritoryName/BRA>,'Brazil'@en,skos:Concept,Brazil,BRA
<http://codes.wmo.int/wmdr/TerritoryName/BRB>,'Barbados'@en,skos:Concept,Barbados,BRB
<http://codes.wmo.int/wmdr/TerritoryName/BRN>,'Brunei Darussalam'@en,skos:Concept,Brunei Darussalam,BRN
<http://codes.wmo.int/wmdr/TerritoryName/BTN>,'Bhutan'@en,skos:Concept,Bhutan,BTN
<http://codes.wmo.int/wmdr/TerritoryName/BWA>,'Botswana'@en,skos:Concept,Botswana,BWA
<http://codes.wmo.int/wmdr/TerritoryName/CAF>,'Central African Republic'@en,skos:Concept,Central African Republic,CAF
<http://codes.wmo.int/wmdr/TerritoryName/CAN>,'Canada'@en,skos:Concept,Canada,CAN
<http://codes.wmo.int/wmdr/TerritoryName/CCK>,'Cocos (Keeling) Islands'@en,skos:Concept,Cocos (Keeling) Islands,CCK
<http://codes.wmo.int/wmdr/TerritoryName/CHE>,'Switzerland'@en,skos:Concept,Switzerland,CHE
<http://codes.wmo.int/wmdr/TerritoryName/CHL>,'Chile'@en,skos:Concept,Chile,CHL
<http://codes.wmo.int/wmdr/TerritoryName/CHN>,'China'@en,skos:Concept,China,CHN
<http://codes.wmo.int/wmdr/TerritoryName/CIV>,'Côte d\'Ivoire'@en,skos:Concept,Côte d'Ivoire,CIV
<http://codes.wmo.int/wmdr/TerritoryName/CMR>,'Cameroon'@en,skos:Concept,Cameroon,CMR
<http://codes.wmo.int/wmdr/TerritoryName/COD>,"'Congo, Democratic Republic of the'@en",skos:Concept,"Congo, Democratic Republic of the",COD
<http://codes.wmo.int/wmdr/TerritoryName/COG>,'Congo'@en,skos:Concept,Congo,COG
<http://codes.wmo.int/wmdr/TerritoryName/COK>,'Cook Islands'@en,skos:Concept,Cook Islands,COK
<http://codes.wmo.int/wmdr/TerritoryName/COL>,'Colombia'@en,skos:Concept,Colombia,COL
<http://codes.wmo.int/wmdr/TerritoryName/COM>,'Comoros'@en,skos:Concept,Comoros,COM
<http://codes.wmo.int/wmdr/TerritoryName/CPV>,'Cabo Verde'@en,skos:Concept,Cabo Verde,CPV
<http://codes.wmo.int/wmdr/TerritoryName/CRI>,'Costa Rica'@en,skos:Concept,Costa Rica,CRI
<http://codes.wmo.int/wmdr/TerritoryName/CSM>,'Curacao and Sint Maarten'@en,skos:Concept,Curacao and Sint Maarten,CSM
<http://codes.wmo.int/wmdr/TerritoryName/CUB>,'Cuba'@en,skos:Concept,Cuba,CUB
<http://codes.wmo.int/wmdr/TerritoryName/CUW>,'Curacao'@en,skos:Concept,Curacao,CUW
<http://codes.wmo.int/wmdr/TerritoryName/CXR>,'Christmas Island'@en,skos:Concept,Christmas Island,CXR
<http://codes.wmo.int/wmdr/TerritoryName/CYM>,'Cayman Islands'@en,skos:Concept,Cayman Islands,CYM
<http://codes.wmo.int/wmdr/TerritoryName/CYP>,'Cyprus'@en,skos:Concept,Cyprus,CYP
<http://codes.wmo.int/wmdr/TerritoryName/CZE>,'Czech Republic'@en,skos:Concept,Czech Republic,CZE
<http://codes.wmo.int/wmdr/TerritoryName/DEU>,'Germany'@en,skos:Concept,Germany,DEU
<http://codes.wmo.int/wmdr/TerritoryName/DJI>,'Djibouti'@en,skos:Concept,Djibouti,DJI
<http://codes.wmo.int/wmdr/TerritoryName/DMA>,'Dominica'@en,skos:Concept,Dominica,DMA
<http://codes.wmo.int/wmdr/TerritoryName/DNK>,'Denmark'@en,skos:Concept,Denmark,DNK
<http://codes.wmo.int/wmdr/TerritoryName/DOM>,'Dominican Republic'@en,skos:Concept,Dominican Republic,DOM
<http://codes.wmo.int/wmdr/TerritoryName/DZA>,'Algeria'@en,skos:Concept,Algeria,DZA
<http://codes.wmo.int/wmdr/TerritoryName/ECU>,'Ecuador'@en,skos:Concept,Ecuador,ECU
<http://codes.wmo.int/wmdr/TerritoryName/EGY>,'Egypt'@en,skos:Concept,Egypt,EGY
<http://codes.wmo.int/wmdr/TerritoryName/ERI>,'Eritrea'@en,skos:Concept,Eritrea,ERI
<http://codes.wmo.int/wmdr/TerritoryName/ESH>,'Western Sahara'@en,skos:Concept,Western Sahara,ESH
<http://codes.wmo.int/wmdr/TerritoryName/ESP>,'Spain'@en,skos:Concept,Spain,ESP
<http://codes.wmo.int/wmdr/TerritoryName/EST>,'Estonia'@en,skos:Concept,Estonia,EST
<http://codes.wmo.int/wmdr/TerritoryName/ETH>,'Ethiopia'@en,skos:Concept,Ethiopia,ETH
<http://codes.wmo.int/wmdr/TerritoryName/FIN>,'Finland'@en,skos:Concept,Finland,FIN
<http://codes.wmo.int/wmdr/TerritoryName/FJI>,'Fiji'@en,skos:Concept,Fiji,FJI
<http://codes.wmo.int/wmdr/TerritoryName/FLK>,'Falkland Islands (Malvinas)'@en,skos:Concept,Falkland Islands (Malvinas),FLK
<http://codes.wmo.int/wmdr/TerritoryName/FRA>,'France'@en,skos:Concept,France,FRA
<http://codes.wmo.int/wmdr/TerritoryName/FSM>,"'Micronesia, Federated States of'@en",skos:Concept,"Micronesia, Federated States of",FSM
<http://codes.wmo.int/wmdr/TerritoryName/GAB>,'Gabon'@en,skos:Concept,Gabon,GAB
<http://codes.wmo.int/wmdr/TerritoryName/GBR>,'United Kingdom (the)'@en,skos:Concept,United Kingdom (the),GBR
<http://codes.wmo.int/wmdr/TerritoryName/GEO>,'Georgia'@en,skos:Concept,Georgia,GEO
<http://codes.wmo.int/wmdr/TerritoryName/GHA>,'Ghana'@en,skos:Concept,Ghana,GHA
<http://codes.wmo.int/wmdr/TerritoryName/GIB>,'Gibraltar'@en,skos:Concept,Gibraltar,GIB
<http://codes.wmo.int/wmdr/TerritoryName/GIN>,'Guinea'@en,skos:Concept,Guinea,GIN
<http://codes.wmo.int/wmdr/TerritoryName/GMB>,'Gambia'@en,skos:Concept,Gambia,GMB
<http://codes.wmo.int/wmdr/TerritoryName/GNB>,'Guinea-Bissau'@en,skos:Concept,Guinea-Bissau,GNB
<http://codes.wmo.int/wmdr/TerritoryName/GNQ>,'Equatorial Guinea'@en,skos:Concept,Equatorial Guinea,GNQ
<http://codes.wmo.int/wmdr/TerritoryName/GRC>,'Greece'@en,skos:Concept,Greece,GRC
<http://codes.wmo.int/wmdr/TerritoryName/GRD>,'Grenada'@en,skos:Concept,Grenada,GRD
<http://codes.wmo.int/wmdr/TerritoryName/GRL>,'Greenland'@en,skos:Concept,Greenland,GRL
<http://codes.wmo.int/wmdr/TerritoryName/GTM>,'Guatemala'@en,skos:Concept,Guatemala,GTM
<http://codes.wmo.int/wmdr/TerritoryName/GUY>,'Guyana'@en,skos:Concept,Guyana,GUY
<http://codes.wmo.int/wmdr/TerritoryName/HKG>,"'Hong Kong, China'@en",skos:Concept,"Hong Kong, China",HKG
<http://codes.wmo.int/wmdr/TerritoryName/HND>,'Honduras'@en,skos:Concept,Honduras,HND
<http://codes.wmo.int/wmdr/TerritoryName/HRV>,'Croatia'@en,skos:Concept,Croatia,HRV
<http://codes.wmo.int/wmdr/TerritoryName/HTI>,'Haiti'@en,skos:Concept,Haiti,HTI
<http://codes.wmo.int/wmdr/TerritoryName/HUN>,'Hungary'@en,skos:Concept,Hungary,HUN
<http://codes.wmo.int/wmdr/TerritoryName/IDN>,'Indonesia'@en,skos:Concept,Indonesia,IDN
<http://codes.wmo.int/wmdr/TerritoryName/IND>,'India'@en,skos:Concept,India,IND
<http://codes.wmo.int/wmdr/TerritoryName/IRL>,'Ireland'@en,skos:Concept,Ireland,IRL
<http://codes.wmo.int/wmdr/TerritoryName/IRN>,"'Iran, Islamic Republic of'@en",skos:Concept,"Iran, Islamic Republic of",IRN
<http://codes.wmo.int/wmdr/TerritoryName/IRQ>,'Iraq'@en,skos:Concept,Iraq,IRQ
<http://codes.wmo.int/wmdr/TerritoryName/ISL>,'Iceland'@en,skos:Concept,Iceland,ISL
<http://codes.wmo.int/wmdr/TerritoryName/ISR>,'Israel'@en,skos:Concept,Israel,ISR
<http://codes.wmo.int/wmdr/TerritoryName/ITA>,'Italy'@en,skos:Concept,Italy,ITA
<http://codes.wmo.int/wmdr/TerritoryName/JAM>,'Jamaica'@en,skos:Concept,Jamaica,JAM
<http://codes.wmo.int/wmdr/TerritoryName/JOR>,'Jordan'@en,skos:Concept,Jordan,JOR
<http://codes.wmo.int/wmdr/TerritoryName/JPN>,'Japan'@en,skos:Concept,Japan,JPN
<http://codes.wmo.int/wmdr/TerritoryName/KAZ>,'Kazakhstan'@en,skos:Concept,Kazakhstan,KAZ
<http://codes.wmo.int/wmdr/TerritoryName/KEN>,'Kenya'@en,skos:Concept,Kenya,KEN
<http://codes.wmo.int/wmdr/TerritoryName/KGZ>,'Kyrgyzstan'@en,skos:Concept,Kyrgyzstan,KGZ
<http://codes.wmo.int/wmdr/TerritoryName/KHM>,'Cambodia'@en,skos:Concept,Cambodia,KHM
<http://codes.wmo.int/wmdr/TerritoryName/KIR>,'Kiribati'@en,skos:Concept,Kiribati,KIR
