@id,dct:description,rdf:type,rdfs:label,skos:notation
<http://codes.wmo.int/wmdr/TerritoryName/KNA>,'Saint Kitts and Nevis'@en,skos:Concept,Saint Kitts and Nevis,KNA
<http://codes.wmo.int/wmdr/TerritoryName/KOR>,"'Korea, Republic of'@en",skos:Concept,"Korea, Republic of",KOR
<http://codes.wmo.int/wmdr/TerritoryName/KWT>,'Kuwait'@en,skos:Concept,Kuwait,KWT
<http://codes.wmo.int/wmdr/TerritoryName/LAO>,'Lao People\'s Democratic Republic'@en,skos:Concept,Lao People's Democratic Republic,LAO
<http://codes.wmo.int/wmdr/TerritoryName/LBN>,'Lebanon'@en,skos:Concept,Lebanon,LBN
<http://codes.wmo.int/wmdr/TerritoryName/LBR>,'Liberia'@en,skos:Concept,Liberia,LBR
<http://codes.wmo.int/wmdr/TerritoryName/LBY>,'Libya'@en,skos:Concept,Libya,LBY
<http://codes.wmo.int/wmdr/TerritoryName/LCA>,'Saint Lucia'@en,skos:Concept,Saint Lucia,LCA
<http://codes.wmo.int/wmdr/TerritoryName/LIE>,'Liechtenstein'@en,skos:Concept,Liechtenstein,LIE
<http://codes.wmo.int/wmdr/TerritoryName/LKA>,'Sri Lanka'@en,skos:Concept,Sri Lanka,LKA
<http://codes.wmo.int/wmdr/TerritoryName/LSO>,'Lesotho'@en,skos:Concept,Lesotho,LSO
<http://codes.wmo.int/wmdr/TerritoryName/LTU>,'Lithuania'@en,skos:Concept,Lithuania,LTU
<http://codes.wmo.int/wmdr/TerritoryName/LUX>,'Luxembourg'@en,skos:Concept,Luxembourg,LUX
<http://codes.wmo.int/wmdr/TerritoryName/LVA>,'Latvia'@en,skos:Concept,Latvia,LVA
<http://codes.wmo.int/wmdr/TerritoryName/MAC>,"'Macao, China'@en",skos:Concept,"Macao, China",MAC
<http://codes.wmo.int/wmdr/TerritoryName/MAR>,'Morocco'@en,skos:Concept,Morocco,MAR
<http://codes.wmo.int/wmdr/TerritoryName/MCO>,'Monaco'@en,skos:Concept,Monaco,MCO
<http://codes.wmo.int/wmdr/TerritoryName/MDA>,"'Moldova, Republic of'@en",skos:Concept,"Moldova, Republic of",MDA
<http://codes.wmo.int/wmdr/TerritoryName/MDG>,'Madagascar'@en,skos:Concept,Madagascar,MDG
<http://codes.wmo.int/wmdr/TerritoryName/MDV>,'Maldives'@en,skos:Concept,Maldives,MDV
<http://codes.wmo.int/wmdr/TerritoryName/MEX>,'Mexico'@en,skos:Concept,Mexico,MEX
<http://codes.wmo.int/wmdr/TerritoryName/MHL>,'Marshall Islands'@en,skos:Concept,Marshall Islands,MHL
<http://codes.wmo.int/wmdr/TerritoryName/MKD>,"'Macedonia, the former Yugoslav Republic of'@en",skos:Concept,"Macedonia, the former Yugoslav Republic of",MKD
<http://codes.wmo.int/wmdr/TerritoryName/MLI>,'Mali'@en,skos:Concept,Mali,MLI
<http://codes.wmo.int/wmdr/TerritoryName/MLT>,'Malta'@en,skos:Concept,Malta,MLT
<http://codes.wmo.int/wmdr/TerritoryName/MMR>,'Myanmar'@en,skos:Concept,Myanmar,MMR
<http://codes.wmo.int/wmdr/TerritoryName/MNE>,'Montenegro'@en,skos:Concept,Montenegro,MNE
<http://codes.wmo.int/wmdr/TerritoryName/MNG>,'Mongolia'@en,skos:Concept,Mongolia,MNG
<http://codes.wmo.int/wmdr/TerritoryName/MOZ>,'Mozambique'@en,skos:Concept,Mozambique,MOZ
<http://codes.wmo.int/wmdr/TerritoryName/MRT>,'Mauritania'@en,skos:Concept,Mauritania,MRT
<http://codes.wmo.int/wmdr/TerritoryName/MSR>,'Montserrat'@en,skos:Concept,Montserrat,MSR
<http://codes.wmo.int/wmdr/TerritoryName/MUS>,'Mauritius'@en,skos:Concept,Mauritius,MUS
<http://codes.wmo.int/wmdr/TerritoryName/MWI>,'Malawi'@en,skos:Concept,Malawi,MWI
<http://codes.wmo.int/wmdr/TerritoryName/MYS>,'Malaysia'@en,skos:Concept,Malaysia,MYS
<http://codes.wmo.int/wmdr/TerritoryName/NAM>,'Namibia'@en,skos:Concept,Namibia,NAM
<http://codes.wmo.int/wmdr/TerritoryName/NCL>,'New Caledonia'@en,skos:Concept,New Caledonia,NCL
<http://codes.wmo.int/wmdr/TerritoryName/NER>,'Niger'@en,skos:Concept,Niger,NER
<http://codes.wmo.int/wmdr/TerritoryName/NGA>,'Nigeria'@en,skos:Concept,Nigeria,NGA
<http://codes.wmo.int/wmdr/TerritoryName/NIC>,'Nicaragua'@en,skos:Concept,Nicaragua,NIC
<http://codes.wmo.int/wmdr/TerritoryName/NIU>,'Niue'@en,skos:Concept,Niue,NIU
<http://codes.wmo.int/wmdr/TerritoryName/NLD>,'Netherlands'@en,skos:Concept,Netherlands,NLD
<http://codes.wmo.int/wmdr/TerritoryName/NOR>,'Norway'@en,skos:Concept,Norway,NOR
<http://codes.wmo.int/wmdr/TerritoryName/NPL>,'Nepal'@en,skos:Concept,Nepal,NPL
<http://codes.wmo.int/wmdr/TerritoryName/NRU>,'Nauru'@en,skos:Concept,Nauru,NRU
<http://codes.wmo.int/wmdr/TerritoryName/NZL>,'New Zealand'@en,skos:Concept,New Zealand,NZL
<http://codes.wmo.int/wmdr/TerritoryName/OMN>,'Oman'@en,skos:Concept,Oman,OMN
<http://codes.wmo.int/wmdr/TerritoryName/PAK>,'Pakistan'@en,skos:Concept,Pakistan,PAK
<http://codes.wmo.int/wmdr/TerritoryName/PAN>,'Panama'@en,skos:Concept,Panama,PAN
<http://codes.wmo.int/wmdr/TerritoryName/PCN>,'Pitcairn'@en,skos:Concept,Pitcairn,PCN
<http://codes.wmo.int/wmdr/TerritoryName/PER>,'Peru'@en,skos:Concept,Peru,PER
<http://codes.wmo.int/wmdr/TerritoryName/PHL>,'Philippines'@en,skos:Concept,Philippines,PHL
<http://codes.wmo.int/wmdr/TerritoryName/PLW>,'Palau'@en,skos:Concept,Palau,PLW
<http://codes.wmo.int/wmdr/TerritoryName/PNG>,'Papua New Guinea'@en,skos:Concept,Papua New Guinea,PNG
<http://codes.wmo.int/wmdr/TerritoryName/POL>,'Poland'@en,skos:Concept,Poland,POL
<http://codes.wmo.int/wmdr/TerritoryName/PRI>,'Puerto Rico'@en,skos:Concept,Puerto Rico,PRI
<http://codes.wmo.int/wmdr/TerritoryName/PRK>,"'Korea, Democratic People\'s Republic of'@en",skos:Concept,"Korea, Democratic People's Republic of",PRK
<http://codes.wmo.int/wmdr/TerritoryName/PRT>,'Portugal'@en,skos:Concept,Portugal,PRT
<http://codes.wmo.int/wmdr/TerritoryName/PRY>,'Paraguay'@en,skos:Concept,Paraguay,PRY
<http://codes.wmo.int/wmdr/TerritoryName/PSE>,"'Palestine, State of'@en",skos:Concept,"Palestine, State of",PSE
<http://codes.wmo.int/wmdr/TerritoryName/PYF>,'French Polynesia'@en,skos:Concept,French Polynesia,PYF
<http://codes.wmo.int/wmdr/TerritoryName/QAT>,'Qatar'@en,skos:Concept,Qatar,QAT
<http://codes.wmo.int/wmdr/TerritoryName/ROU>,'Romania'@en,skos:Concept,Romania,ROU
<http://codes.wmo.int/wmdr/TerritoryName/RUS>,'Russian Federation'@en,skos:Concept,Russian Federation,RUS
<http://codes.wmo.int/wmdr/TerritoryName/RWA>,'Rwanda'@en,skos:Concept,Rwanda,RWA
<http://codes.wmo.int/wmdr/TerritoryName/SAU>,'Saudi Arabia'@en,skos:Concept,Saudi Arabia,SAU
<http://codes.wmo.int/wmdr/TerritoryName/SDN>,'Sudan'@en,skos:Concept,Sudan,SDN
<http://codes.wmo.int/wmdr/TerritoryName/SEN>,'Senegal'@en,skos:Concept,Senegal,SEN
<http://codes.wmo.int/wmdr/TerritoryName/SGP>,'Singapore'@en,skos:Concept,Singapore,SGP
<http://codes.wmo.int/wmdr/TerritoryName/SGS>,'South Georgia and the South Sandwich Islands'@en,skos:Concept,South Georgia and the South Sandwich Islands,SGS
<http://codes.wmo.int/wmdr/TerritoryName/SHN>,'Saint Helena'@en,skos:Concept,Saint Helena,SHN
<http://codes.wmo.int/wmdr/TerritoryName/SLB>,'Solomon Islands'@en,skos:Concept,Solomon Islands,SLB
<http://codes.wmo.int/wmdr/TerritoryName/SLE>,'Sierra Leone'@en,skos:Concept,Sierra Leone,SLE
<http://codes.wmo.int/wmdr/TerritoryName/SLV>,'El Salvador'@en,skos:Concept,El Salvador,SLV
<http://codes.wmo.int/wmdr/TerritoryName/SOM>,'Somalia'@en,skos:Concept,Somalia,SOM
<http://codes.wmo.int/wmdr/TerritoryName/SPM>,'Saint Pierre and Miquelon'@en,skos:Concept,Saint Pierre and Miquelon,SPM
<http://codes.wmo.int/wmdr/TerritoryName/SRB>,'Serbia'@en,skos:Concept,Serbia,SRB
<http://codes.wmo.int/wmdr/TerritoryName/SSD>,'South Sudan'@en,skos:Concept,South Sudan,SSD
<http://codes.wmo.int/wmdr/TerritoryName/STP>,'Sao Tome and Principe'@en,skos:Concept,Sao Tome and Principe,STP
<http://codes.wmo.int/wmdr/TerritoryName/SUR>,'Suriname'@en,skos:Concept,Suriname,SUR
<http://codes.wmo.int/wmdr/TerritoryName/SVK>,'Slovakia'@en,skos:Concept,Slovakia,SVK
<http://codes.wmo.int/wmdr/TerritoryName/SVN>,'Slovenia'@en,skos:Concept,Slovenia,SVN
<http://codes.wmo.int/wmdr/TerritoryName/SWE>,'Sweden'@en,skos:Concept,Sweden,SWE
<http://codes.wmo.int/wmdr/TerritoryName/SWZ>,'Eswatini'@en,skos:Concept,Eswatini,SWZ
<http://codes.wmo.int/wmdr/TerritoryName/SXM>,'Sint Maarten'@en,skos:Concept,Sint Maarten,SXM
<http://codes.wmo.int/wmdr/TerritoryName/SYC>,'Seychelles'@en,skos:Concept,Seychelles,SYC
<http://codes.wmo.int/wmdr/TerritoryName/SYR>,'Syrian Arab Republic'@en,skos:Concept,Syrian Arab Republic,SYR
<http://codes.wmo.int/wmdr/TerritoryName/TCA>,'Turks and Caicos Islands'@en,skos:Concept,Turks and Caicos Islands,TCA
<http://codes.wmo.int/wmdr/TerritoryName/TCD>,'Chad'@en,skos:Concept,Chad,TCD
<http://codes.wmo.int/wmdr/TerritoryName/TGO>,'Togo'@en,skos:Concept,Togo,TGO
<http://codes.wmo.int/wmdr/TerritoryName/THA>,'Thailand'@en,skos:Concept,Thailand,THA
<http://codes.wmo.int/wmdr/TerritoryName/TJK>,'Tajikistan'@en,skos:Concept,Tajikistan,TJK
<http://codes.wmo.int/wmdr/TerritoryName/TKL>,'Tokelau'@en,skos:Concept,Tokelau,TKL
<http://codes.wmo.int/wmdr/TerritoryName/TKM>,'Turkmenistan'@en,skos:Concept,Turkmenistan,TKM
<http://codes.wmo.int/wmdr/TerritoryName/TLS>,'Timor-Leste'@en,skos:Concept,Timor-Leste,TLS
<http://codes.wmo.int/wmdr/TerritoryName/TON>,'Tonga'@en,skos:Concept,Tonga,TON
<http://codes.wmo.int/wmdr/TerritoryName/TTO>,'Trinidad and Tobago'@en,skos:Concept,Trinidad and Tobago,TTO
<http://codes.wmo.int/wmdr/TerritoryName/TUN>,'Tunisia'@en,skos:Concept,Tunisia,TUN
<http://codes.wmo.int/wmdr/TerritoryName/TUR>,'Turkey'@en,skos:Concept,Turkey,TUR
<http://codes.wmo.int/wmdr/TerritoryName/TUV>,'Tuvalu'@en,skos:Concept,Tuvalu,TUV
<http://codes.wmo.int/wmdr/TerritoryName/TWN>,"'Taiwan, Province of China'@en",skos:Concept,"Taiwan, Province of China",TWN
<http://codes.wmo.int/wmdr/TerritoryName/TZA>,"'Tanzania, United Republic of'@en",skos:Concept,"Tanzania, United Republic of",TZA
<http://codes.wmo.int/wmdr/TerritoryName/UGA>,'Uganda'@en,skos:Concept,Uganda,UGA
<http://codes.wmo.int/wmdr/TerritoryName/UKR>,'Ukraine'@en,skos:Concept,Ukraine,UKR
<http://codes.wmo.int/wmdr/TerritoryName/URY>,'Uruguay'@en,skos:Concept,Uruguay,URY
<http://codes.wmo.int/wmdr/TerritoryName/USA>,'United States (the)'@en,skos:Concept,United States (the),USA
<http://codes.wmo.int/wmdr/TerritoryName/UZB>,'Uzbekistan'@en,skos:Concept,Uzbekistan,UZB
<http://codes.wmo.int/wmdr/TerritoryName/VCT>,'Saint Vincent and Grenadines'@en,skos:Concept,Saint Vincent and Grenadines,VCT
<http://codes.wmo.int/wmdr/TerritoryName/VEN>,"'Venezuela, Bolivarian Republic of'@en",skos:Concept,"Venezuela, Bolivarian Republic of",VEN
<http://codes.wmo.int/wmdr/TerritoryName/VGB>,'British Virgin Islands'@en,skos:Concept,British Virgin Islands,VGB
<http://codes.wmo.int/wmdr/TerritoryName/VNM>,'Viet Nam'@en,skos:Concept,Viet Nam,VNM
<http://codes.wmo.int/wmdr/TerritoryName/VUT>,'Vanuatu'@en,skos:Concept,Vanuatu,VUT
<http://codes.wmo.int/wmdr/TerritoryName/WSM>,'Samoa'@en,skos:Concept,Samoa,WSM
<http://codes.wmo.int/wmdr/TerritoryName/YEM>,'Yemen'@en,skos:Concept,Yemen,YEM
<http://codes.wmo.int/wmdr/TerritoryName/ZAF>,'South Africa'@en,skos:Concept,South Africa,ZAF
<http://codes.wmo.int/wmdr/TerritoryName/ZMB>,'Zambia'@en,skos:Concept,Zambia,ZMB
<http://codes.wmo.int/wmdr/TerritoryName/ZWE>,'Zimbabwe'@en,skos:Concept,Zimbabwe,ZWE
<http://codes.wmo.int/wmdr/TerritoryName/inapplicable>,'Territory not applicable.'@en,skos:Concept,inapplicable,inapplicable
<http://codes.wmo.int/wmdr/TerritoryName/unknown>,'Territory unknown.'@en,skos:Concept,unknown,unknown
